client_id,first_name,last_name,gender,birth_date,age,city,marital_status,dependants,employment_type,monthly_salary,bank_account,account_open_date,phone,email
1,Davit,Abrahamyan,M,1996-02-22,30,Yerevan,SINGLE,1,EMPLOYED,770000,39345092,2018-12-23,+374 39 629903,davit.abrahamyan1@gmail.com
2,Vahagn,Asatryan,M,1967-05-23,59,Hrazdan,SINGLE,2,EMPLOYED,210000,38898923,2019-10-16,+374 53 207175,vahagn.asatryan2@gmail.com
3,Lena,Manukyan,F,1966-05-16,60,Sevan,SINGLE,2,SELF_EMPLOYED,570000,60806024,2018-06-27,+374 20 678856,lena.manukyan3@yahoo.com
4,Armine,Gevorgyan,F,2002-12-05,24,Vagharshapat,DIVORCED,3,SELF_EMPLOYED,270000,61019678,2021-03-31,+374 45 575435,armine.gevorgyan4@yahoo.com
5,Gegham,Manukyan,M,1987-12-26,39,Vagharshapat,SINGLE,1,EMPLOYED,270000,60929647,2019-12-02,+374 44 771088,gegham.manukyan5@mail.ru
6,Maria,Karapetyan,F,1984-07-24,42,Dilijan,DIVORCED,0,SELF_EMPLOYED,290000,52235350,2018-09-29,+374 37 787277,maria.karapetyan6@yandex.ru
7,Kristine,Mkrtchyan,F,1989-10-15,37,Kapan,DIVORCED,2,EMPLOYED,770000,63606628,2020-12-12,+374 56 329974,kristine.mkrtchyan7@mail.ru
8,Nare,Petrosyan,F,2006-11-18,20,Dilijan,SINGLE,0,STUDENT,70000,61220073,2022-09-26,+374 86 590785,nare.petrosyan8@yahoo.com
9,Tigran,Ghazaryan,M,2004-11-24,22,Abovyan,MARRIED,0,STUDENT,90000,70897765,2019-04-02,+374 10 857168,tigran.ghazaryan9@yahoo.com
10,Ruben,Grigoryan,M,2004-11-23,22,Vanadzor,MARRIED,0,STUDENT,120000,31682744,2020-03-25,+374 79 916449,ruben.grigoryan10@gmail.com
11,Narine,Hakobyan,F,1981-06-07,45,Dilijan,DIVORCED,0,EMPLOYED,450000,21496211,2018-08-26,+374 72 955662,narine.hakobyan11@gmail.com
12,Gor,Ghazaryan,M,1969-03-26,57,Kapan,WIDOWED,2,EMPLOYED,480000,82383095,2023-12-02,+374 98 310922,gor.ghazaryan12@yahoo.com
13,Mariam,Galstyan,F,2001-03-03,25,Gyumri,SINGLE,0,STUDENT,80000,88961459,2020-07-09,+374 80 341292,mariam.galstyan13@mail.ru
14,Hayk,Baghdasaryan,M,1990-02-04,36,Vagharshapat,SINGLE,0,EMPLOYED,230000,75151231,2021-09-15,+374 37 665427,hayk.baghdasaryan14@mail.ru
15,Karine,Martirosyan,F,1992-02-18,34,Kapan,MARRIED,1,SELF_EMPLOYED,200000,17270733,2022-11-01,+374 96 785197,karine.martirosyan15@gmail.com
16,Raffi,Avagyan,M,1998-05-08,28,Vanadzor,MARRIED,1,SELF_EMPLOYED,250000,47385696,2020-02-19,+374 69 361941,raffi.avagyan16@gmail.com
17,Marine,Grigoryan,F,1970-01-08,56,Gavar,MARRIED,0,EMPLOYED,300000,63826716,2020-08-26,+374 17 272634,marine.grigoryan17@yandex.ru
18,Raffi,Abrahamyan,M,2001-05-27,25,Vanadzor,SINGLE,0,STUDENT,110000,39219319,2023-06-17,+374 17 707314,raffi.abrahamyan18@gmail.com
19,Maria,Petrosyan,F,1972-09-28,54,Gyumri,DIVORCED,3,EMPLOYED,370000,19196777,2018-08-21,+374 86 171262,maria.petrosyan19@mail.ru
20,Lena,Arsenyan,F,1966-01-21,60,Dilijan,MARRIED,2,EMPLOYED,290000,44999379,2022-09-14,+374 36 802258,lena.arsenyan20@yahoo.com
21,Vahan,Danielyan,M,1985-08-23,41,Dilijan,WIDOWED,0,EMPLOYED,530000,23419256,2018-10-25,+374 19 663750,vahan.danielyan21@mail.ru
22,Ani,Manukyan,F,2005-07-09,21,Gavar,MARRIED,0,STUDENT,90000,50603163,2019-10-09,+374 88 946305,ani.manukyan22@gmail.com
23,Lena,Mkrtchyan,F,1998-10-11,28,Vagharshapat,MARRIED,0,EMPLOYED,360000,37326368,2021-01-20,+374 97 765046,lena.mkrtchyan23@yahoo.com
24,Meri,Petrosyan,F,1977-05-22,49,Vanadzor,MARRIED,1,EMPLOYED,250000,45159040,2018-01-15,+374 30 877236,meri.petrosyan24@yandex.ru
25,Marine,Hakobyan,F,1995-10-07,31,Vanadzor,MARRIED,1,EMPLOYED,240000,15614174,2022-02-21,+374 49 482364,marine.hakobyan25@gmail.com
26,Lilit,Ghazaryan,F,1998-07-01,28,Vanadzor,DIVORCED,3,EMPLOYED,790000,41774346,2022-07-23,+374 30 938742,lilit.ghazaryan26@mail.ru
27,Anna,Hovhannisyan,F,1983-07-30,43,Gyumri,MARRIED,0,SELF_EMPLOYED,570000,15197528,2020-10-13,+374 70 333238,anna.hovhannisyan27@mail.ru
28,Mariam,Stepanyan,F,1990-04-25,36,Abovyan,DIVORCED,1,SELF_EMPLOYED,160000,47463522,2020-03-02,+374 54 772642,mariam.stepanyan28@yandex.ru
29,Anna,Grigoryan,F,2004-04-01,22,Yerevan,SINGLE,0,STUDENT,130000,68326160,2020-12-23,+374 54 863934,anna.grigoryan29@yahoo.com
30,Gayane,Simonyan,F,1968-04-07,58,Yerevan,MARRIED,2,EMPLOYED,470000,82269803,2018-07-01,+374 97 854377,gayane.simonyan30@mail.ru
31,Anahit,Sargsyan,F,1956-11-15,70,Abovyan,MARRIED,1,RETIRED,120000,99508850,2019-05-26,+374 62 442027,anahit.sargsyan31@yandex.ru
32,Marine,Mkrtchyan,F,1980-12-12,46,Yerevan,SINGLE,1,EMPLOYED,380000,38210242,2021-05-17,+374 65 923927,marine.mkrtchyan32@yahoo.com
33,Kristine,Galstyan,F,1972-08-30,54,Abovyan,MARRIED,2,SELF_EMPLOYED,570000,94951883,2019-11-27,+374 89 451470,kristine.galstyan33@gmail.com
34,Narek,Karapetyan,M,1995-01-13,31,Dilijan,MARRIED,3,SELF_EMPLOYED,170000,19774839,2020-09-29,+374 68 534572,narek.karapetyan34@mail.ru
35,Narine,Danielyan,F,2004-02-24,22,Sevan,MARRIED,0,EMPLOYED,650000,84813739,2020-06-15,+374 41 989545,narine.danielyan35@gmail.com
36,Ani,Galstyan,F,1969-11-01,57,Sevan,MARRIED,1,SELF_EMPLOYED,320000,83534128,2022-12-18,+374 67 266889,ani.galstyan36@yandex.ru
