transaction_id,client_id,transaction_date,amount,mcc_code,category,merchant_name,bank_account,status,response_code,balance
100001,1,2024-01-03 19:24,12700,5812,Restaurant,Mer Taghe,39345092,SUCCESS,0,3503774
100002,1,2024-01-04 11:40,8900,5912,Pharmacy,PharmAm,39345092,SUCCESS,0,3453655
100003,1,2024-01-06 20:38,5800,5912,Pharmacy,ArmPharm,39345092,SUCCESS,0,3341689
100004,1,2024-01-09 07:43,30400,5680,Clothing,Reserved,39345092,SUCCESS,0,3419382
100005,1,2024-01-10 20:10,5800,5912,Pharmacy,Vita,39345092,SUCCESS,0,3356458
100006,1,2024-01-20 21:33,5800,5912,Pharmacy,PharmAm,39345092,FAILED,57,3418975
100007,1,2024-01-21 17:07,13000,5411,Supermarket,Yerevan City,39345092,SUCCESS,0,3458568
100008,1,2024-01-24 10:43,1700,1021,Electronics,DigiTech,39345092,SUCCESS,0,3402245
100009,1,2024-01-25 08:55,6200,6011,ATM / Cash,Ameriabank ATM,39345092,SUCCESS,0,3299380
100010,1,2024-01-29 15:49,26600,5211,Repair / Hardware,Fix Price Build,39345092,SUCCESS,0,3428194
100011,1,2024-02-04 16:53,5000,5812,Restaurant,Lavash Cafe,39345092,SUCCESS,0,4103519
100012,1,2024-02-04 18:56,22500,6011,ATM / Cash,Ardshinbank ATM,39345092,SUCCESS,0,4012355
100013,1,2024-02-11 22:01,5300,5812,Restaurant,Pizza di Roma,39345092,SUCCESS,0,4022391
100014,1,2024-02-12 12:34,6400,5411,Supermarket,Yerevan City,39345092,SUCCESS,0,4022640
100015,1,2024-02-15 07:46,17900,5411,Supermarket,Rossia,39345092,SUCCESS,0,4118443
100016,1,2024-02-21 13:09,18200,6011,ATM / Cash,Inecobank ATM,39345092,FAILED,57,3994376
100017,1,2024-02-25 07:38,36000,5211,Repair / Hardware,MasterBuild,39345092,SUCCESS,0,4149737
100018,1,2024-02-25 12:32,6300,5411,Supermarket,Unimart,39345092,SUCCESS,0,4138757
100019,1,2024-02-29 15:32,5600,5912,Pharmacy,ArmPharm,39345092,SUCCESS,0,4138238
100020,1,2024-03-02 14:56,20900,6011,ATM / Cash,Inecobank ATM,39345092,SUCCESS,0,4888169
100021,1,2024-03-03 11:08,4100,5912,Pharmacy,Nor Pharma,39345092,SUCCESS,0,4705294
100022,1,2024-03-06 15:33,9100,5812,Restaurant,Green Bean,39345092,SUCCESS,0,4697816
100023,1,2024-03-10 19:42,26000,5211,Repair / Hardware,ArmBuild,39345092,SUCCESS,0,4842421
100024,1,2024-03-19 09:05,10800,5411,Supermarket,Rossia,39345092,FAILED,57,4656208
100025,1,2024-03-21 18:28,19000,5680,Clothing,Mango,39345092,SUCCESS,0,4765084
100026,1,2024-03-22 22:35,19400,5411,Supermarket,SAS Supermarket,39345092,SUCCESS,0,4791632
100027,1,2024-03-24 22:52,34800,5211,Repair / Hardware,Fix Price Build,39345092,SUCCESS,0,4671434
100028,1,2024-03-27 16:15,18800,1021,Electronics,MediaMarkt,39345092,SUCCESS,0,4761799
100029,1,2024-03-28 20:13,56500,1021,Electronics,MediaMarkt,39345092,SUCCESS,0,4486435
100030,1,2024-03-30 13:45,7100,5411,Supermarket,Yerevan City,39345092,SUCCESS,0,4578844
100031,1,2024-04-03 08:55,21700,6011,ATM / Cash,Ardshinbank ATM,39345092,SUCCESS,0,5324997
100032,1,2024-04-05 22:15,2100,5912,Pharmacy,PharmAm,39345092,SUCCESS,0,5280661
100033,1,2024-04-08 07:04,11700,5680,Clothing,LC Waikiki,39345092,SUCCESS,0,5141323
